rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/garfield,Gary Thompson,False,Philadelphia Daily News,Rotten,,2004-06-11,"Tolerable, and, at 85 minutes, mercifully short."
m/happy_endings,Jonathan W. Hickman,False,Entertainment Insiders,Rotten,2.5/4,2005-07-28,Director Roos has way too many balls in the air here. The film is long and the multiple plots distracting.
m/moneyball,Rich Cline,False,Shadows on the Wall,Fresh,4/5,2011-11-19,"Based on Michael Lewis' nonfiction book, this film is written, directed and played with both intelligence and emotion."
m/war_of_the_worlds,Laura Clifford,False,Reeling Reviews,Fresh,B+,2005-06-29,"...while his ""War's"" waging, Spielberg will have you by the throat."
m/futureworld,Stefan Birgir Stefansson,False,sbs.is,Rotten,0.5/4,2007-12-14,gives sequels a bad name
m/paperclips,Steve Schneider,False,Orlando Weekly,Rotten,1.5/5,2005-05-05,Somebody forgot to tell Elliot Berlin and Joe Fab that a noble cause does not a movie make.
m/agent_cody_banks_2_destination_london,Scott Foundas,True,Variety,Fresh,,2004-03-11,"Muniz's considerable charm keeps things moving along briskly, and there's more than enough here to keep pic's target audience engaged."
m/chicken_with_plums,Emanuel Levy,False,EmanuelLevy.Com,Fresh,B,2012-12-22,
m/10012150-high_school,Robin Clifford,False,Reeling Reviews,Rotten,D,2012-05-31,"I watched this seemingly endless flick with hardly a smile, never mind a laugh."
m/stone,Kyle Smith,True,New York Post,Rotten,1.5/4,2010-10-08,A movie steeped in sin that squats awkwardly in a cinematic purgatory between tawdry and talky.
m/the_revenant_2015,Brian Orndorf,False,Blu-ray.com,Fresh,A-,2015-12-23,"Unlike many productions that gift themselves importance, ""The Revenant"" simply becomes a viewing event."
m/golden_door,Steve Watson,False,Film4,Fresh,4/5,2007-06-29,"A wonderfully poetic film offering a fresh perspective on America's early immigrants, Golden Door is as affecting as it is innovative"
m/role_models,Jim Lane,False,Sacramento News & Review,Rotten,2/5,2008-11-07,...fitful laughs...
m/terminator_dark_fate,Jordan Farley,False,Total Film,Fresh,3/5,2019-10-22,Linda Hamilton makes a welcome return in a 'true' T2 sequel that doesn't skimp on the action. But Judgment Day this ain't.
m/intruders_2011,Matt Singer,False,ScreenCrush,Rotten,3/10,2012-04-05,Intruders was either the victim of reshoots and postproduction meddling or it desperately needed some.
m/madelines_madeline,Chris Feil,False,Filmmixtape,Fresh,A-,2018-11-03,"Madeline's Madeline is a film built to comb through its details, to question what in its characters is identity and what is performance."
m/miss_sloane,Sameen Amer,False,The Express Tribune (Pakistan),Fresh,3/5,2019-03-22,Director John Madden has crafted a stylish drama but hasn't imbued it with the depth that could have made the film more intriguing.
m/would_you_rather,Joe Neumaier,True,New York Daily News,Rotten,1/5,2013-02-07,"With a bit less grisliness, it could have been a mystery dinner-theater performance."
m/girlhood,MaryAnn Johanson,False,Flick Filosopher,Fresh,,2003-09-24,"Oscar-nominated documentarian Liz Garbus relates a familiar tale with a shocking, powerful intimacy that's a desperate cry to be heard from the too many throwaway children of our society."
m/magic_mike_xxl,Connie Ogle,True,Miami Herald,Rotten,2/4,2015-06-30,"When you use ""XXL"" in the title of a movie about male strippers, certain promises are made. But if Magic Mike XXL is bulging with anything, it's inane conversation."
m/still_alice,Linda Cook,False,"Quad City Times (Davenport, IA)",Fresh,4/4,2015-02-26,"For my dad, who died of complications from Alzheimer's. This is the movie that needed to be made."
m/the_first_purge,Noah Berlatsky,False,NBC News THINK,Fresh,,2019-08-29,"The fourth film in the ""Purge"" horror franchise is a timely, and surprisingly earnest, glimmer of hope in summer filled with real-world cruelty and government oppression."
m/prince_of_egypt,Alex Sandell,False,Juicy Cerebellum,Fresh,,2000-01-01,The animation is breathtaking.
m/the_music_never_stopped,Jonathan W. Hickman,False,Paste Magazine,Fresh,7,2011-04-07,"The treatment of the music alone makes the movie worth seeing, but the sophisticated nature of the narrative builds well on the musical foundation."
m/horrible_bosses,Eric D. Snider,True,Film.com,Fresh,B+,2011-07-08,"A jubilant, vulgar, and extremely funny farce.... Day, Sudeikis, and Bateman are a dream team of comic actors."
m/the_accountant_2016,Rashid Irani,False,Hindustan Times,Fresh,3/5,2016-12-31,"At best, The Accountant may be worth checking out for its very personable ensemble. Led by the deceptively mild-mannered Ben Affleck, they elevate the film above the standard B-movie entertainment."
m/la_la_land,Simon Miraudo,False,Student Edge,Fresh,4/5,2016-12-18,"La La Land is a moving, melancholy musical that's very pleasant, if a bit thin; not unlike its appealing leads' voices."
m/gleason_2016,Geoffrey Macnab,True,Independent (UK),Fresh,4/5,2017-03-15,The film is moving and insightful because it is more concerned with being honest than with being uplifting.
m/the_vow_2012,Bruce Bennett,False,"Spectrum (St. George, Utah)",Fresh,B,2012-04-16,"Neither particularly romantic nor comedic, nonetheless represents a middling love story that should suit most of its intended audience relying on the chemistry of its stars."
m/1040678-last_of_the_mohicans,Owen Gleiberman,True,Entertainment Weekly,Fresh,B+,2011-09-07,
m/10009583-fade_to_black,Rob Daniel,False,Sky Cinema,Fresh,,2008-03-07,"Fade to Black is as sleek and attractive as the chrome polished vintage cars Huston travels in, but never truly gets in gear."
m/godzillas_revenge,Philip Martin,False,Arkansas Democrat-Gazette,Rotten,2/5,2002-08-08,
m/woman_in_gold,Michael Smith,False,Tulsa World,Fresh,2.5/4,2015-12-18,A big part of what makes Woman in Gold work is the meaningful connection based in family pride and righting the wrongs of the past that develops between Mirren's character and Randol.
m/informant_2013,David Lewis,True,San Francisco Chronicle,Fresh,3/4,2013-10-24,"This is a multilayered film that not only exposes a man's contradictions - a do-gooder narcissist; a thoughtful, delusional activist - but also speaks volumes about the fringes on both sides of the political spectrum."
m/swimming_with_sharks,Chuck O'Leary,False,Fantastica Daily,Fresh,3/5,2005-10-05,
m/la_confidential,Jeffrey Chen,False,Window to the Movies,Fresh,10/10,2002-07-12,"It demands that the viewer pay attention, not assuming for one second that its audience may consist of dummies. That audience is rewarded with an environment oozing with atmosphere."
m/son_of_the_mask,Brent Simon,False,Now Playing Magazine,Rotten,C,2005-02-17,"Just another loud, insistent, hyper-stylized piece of children's entertainment, albeit one with a few clever throwaway bon mots..."
m/conquest_of_the_planet_of_the_apes,Rob Gonsalves,False,eFilmCritic.com,Rotten,3/5,2007-04-09,Lead-footed and erratic.
m/stolen_summer,Jan Stuart,True,Newsday,Rotten,2/4,2002-03-22,"An artificial exercise in personal childhood reverie whose squishy, generic personality shows evidence aplenty of corporate fingerprints."
m/blue_valentine,Kam Williams,False,TheLoop21.com,Rotten,1/4,2011-01-31,A depressing deconstruction of a marriage that clearly was never meant to be.
m/the_diabolical_2015,Andrew Pollard,False,Starburst,Rotten,3/10,2018-04-11,"By the time things do spark to life, even the most Red Bull-fuelled of viewers will feel themselves dozing off."
m/wedding_banquet,Michael Szymanski,False,Zap2it.com,Fresh,5/5,2002-11-07,
m/final_portrait,Natalie Mokry,False,Film School Rejects,Fresh,,2018-03-10,"There are quite a few laugh-out-loud moments, a welcome deviation from a tale that can both depress you and inspire you."
m/1058923-shallow_grave,Lisa Schwarzbaum,True,Entertainment Weekly,Fresh,B-,2011-09-07,
m/daredevil,Moriarty,False,Ain't It Cool Movie Reviews,Fresh,,2003-02-06,"If it's a human hero you want, one we recognize in ourselves, one who bleeds and who hurts and who loves and who dares to face a dark world without fear, then Daredevil delivers."
m/the_walk_2015,Alissa Wilkinson,False,Christianity Today,Rotten,2/4,2015-10-01,"The film seems more than a little insecure, unwilling to let you feel its awesomeness -- it shouldn't have been -- and resorting to telling you, over and over, that this is a very inspirational story and you should be inspired by it."
m/diane_2019,Matt Cipolla,False,Film Monthly,Fresh,4/5,2020-07-25,"As Diane goes through her day-to-day life, the picture recontextualizes apparent flaws as hidden strengths."
m/the_killer_inside_me,Joseph Proimakis,False,Movies for the Masses,Fresh,3.5/5,2010-11-20,full review at Movies for the Masses
m/black_sea,Stephen Holden,True,New York Times,Rotten,,2015-01-22,"The story loses credibility as it goes along, as the body count escalates, and Robinson's solutions to life-and-death crises grow increasingly far-fetched. Well before it ends preposterously, ""Black Sea"" has taken leave of its senses."
m/the-heart-of-the-game,Ken Fox,False,TV Guide,Fresh,3/4,2006-06-09,Suffice it to say that an entire team of Hollywood scriptwriters couldn't have come up with a better ending.
m/fat_girl,Chris Vognar,True,Dallas Morning News,Fresh,,2002-01-24,The characters come across with an unnerving sense of psychological realism and act as a flesh-and-blood foil to the allegorical story.
m/secretariat,MaryAnn Johanson,False,Flick Filosopher,Fresh,,2010-10-21,Screenwriter Mike Rich and director Randall Wallace somehow whip this fruit salad of tragedy and triumph and predictability and profound corniness into something wonderful and amazing and the best kind of Hollywood feel-good.
m/the_day_shall_come,John DeFore,True,Hollywood Reporter,Fresh,,2019-03-12,"Smart, bitterly funny, and probably too true for most Americans to bear."
m/the_cabin_in_the_woods,Rob Carnevale,False,Indie London,Fresh,4.5/5,2015-09-27,"The Cabin in the Woods will undoubtedly be one of the best horror-thrillers you'll see all year, as well as one of the best films. It will also standout as an all-time horror classic."
m/fulltime_killer,Frank Swietek,False,One Guy's Opinion,Fresh,B-,2003-06-20,"There's very little sense to what's going on here, but the makers serve up the cliches with considerable dash."
m/forrest_gump,Dragan Antulov,False,rec.arts.movies.reviews,Fresh,8/10,2003-12-16,"This film is both serious and funny, entertaining and thought-provoking and it could make people laugh and cry with equal degree of ease."
m/whatever_works,Robert W. Butler,False,Kansas City Star,Rotten,2.5/4,2009-07-03,"Unlike last year's Vicky Cristina Barcelona, which felt fresh and contemporary, Whatever Works seems dated. Allen has covered these themes so often that they provide few surprises."
m/john_carpenters_ghosts_of_mars,Peter Bernard,False,South Florida Sun-Sentinel,Rotten,,2001-08-23,"A muddled mix of wayward rock video, sci-fi schlock and blood-splattering horror."
m/fish_tank,Chris Hewitt,False,St. Paul Pioneer Press,Fresh,3.5/4,2010-03-19,Fish Tank is filled with careful images that encourage us to look past the bleak surface of Mia's life and see the potential and beauty beneath it.
m/like_a_boss,Tim Robey,True,Daily Telegraph (UK),Rotten,2/5,2020-02-20,"If the basic test all studio comedies must pass is, ""did anyone bother here?"", all evidence points to a brisk, deflating hell-to-the-no."
m/1213999-brothers,Dave Calhoun,True,Time Out,Rotten,2/5,2010-01-22,It takes two-thirds of the film for any scene of real emotional truth or power to emerge - and by then we're lost.
m/beauty_and_the_beast_1991,Lisa Schwarzbaum,True,Entertainment Weekly,Fresh,B+,2012-01-13,"The set pieces are narcotically pleasing, especially the Busby Berkeley-style dancing-kitchenware spectacular, ""Be Our Guest,"" and the romantic ballroom centerpiece that brings Beauty and her Beast together."
m/the_big_lebowski,Cole Smithey,False,ColeSmithey.com,Fresh,A,2011-07-23,"[VIDEO] You'd never guess that the movie is loosely based on Raymond Chandler's detective novel ""The Big Sleep."""
m/get_smart,Duane Dudek,False,Milwaukee Journal Sentinel,Rotten,2/4,2008-06-19,"Get Smart is like overripe, low-hanging fruit. Not being rotten doesn't make it edible."
m/jimi_all_is_by_my_side,Kevin Jagernauth,False,The Playlist,Rotten,D,2014-03-14,"...a Hendrix movie without the full Hendrix story, seminal Hendrix songs, all in a portrait of a man that doesn't really feel like Hendrix at all."
m/dark_city,MaryAnn Johanson,False,Flick Filosopher,Rotten,3/10,2000-01-01,"And what happened in the theater after we all endured Dark City? One pair of hands applauded, and someone in the back of the theater yelled, 'Oh, shut up!'"
m/sarahs_key,Moira MacDonald,True,Seattle Times,Rotten,2.5/4,2011-07-28,"""Sarah's Key,"" based on the novel by Tatiana de Rosnay, struggles with a problem it never overcomes: How do you make viewers care about everyday problems when juxtaposed with the horror of the Holocaust?"
m/tyrannosaur,Mark Adams,False,Screen International,Fresh,,2011-02-10,"The bleak story and strong language may appear a handicap, but the film is a thoughtful, uncompromising and at times moving debut driven by quite outstanding performances by Peter Mullan and Olivia Colman."
m/a_little_chaos,Bill Zwecker,True,Chicago Sun-Times,Fresh,3/4,2015-08-14,True French historians should simply relax and enjoy a film that takes us on a beautifully photographed cinematic romp into a past as it likely SHOULD have been.
